GeoName,Year,All industry total,Personal income (thousands of dollars),Population (persons) 3/,Total employment,Wages and salaries
"Jasper, IN",2012,0.014547533,0.025516298,0.029812886,0.019234458,0.012770746
"Jay, IN",2012,0.008555655,0.012160943,0.016685568,0.012243726,0.00716366
"Jefferson, IN",2012,0.014826666,0.022730562,0.029020466,0.020199236,0.013804647
"Jennings, IN",2012,0.006033381,0.01669969,0.024115322,0.01145798,0.007396627
"Johnson, IN",2012,0.046013453,0.13621399,0.150361119,0.087615748,0.053627264
"Knox, IN",2012,0.016798706,0.029167628,0.034770422,0.028569642,0.020213053
"Kosciusko, IN",2012,0.054219153,0.066936227,0.078339324,0.061902076,0.051738937
"LaPorte, IN",2012,0.046017654,0.09067918,0.115513201,0.073138398,0.051378444
"Lagrange, IN",2012,0.012429171,0.023136108,0.034576137,0.024505924,0.013395259
"Lake, IN",2012,0.279094848,0.436196787,0.534770968,0.343740809,0.300509078
"Lawrence, IN",2012,0.011259416,0.031701902,0.043606012,0.023123408,0.013630702
"Madison, IN",2012,0.038656466,0.093436549,0.135615124,0.071380769,0.045793282
"Marion, IN",2012,1,1,1,1,1
"Marshall, IN",2012,0.017140383,0.033388325,0.044604723,0.030945354,0.019581532
"Martin, IN",2012,0.00913,0.003099181,0.004567875,0.009461643,0.014152121
"Miami, IN",2012,0.008664773,0.020080113,0.033415886,0.015841396,0.010005811
"Monroe, IN",2012,0.063932784,0.109180532,0.14587838,0.118272664,0.079572519
"Montgomery, IN",2012,0.015821309,0.026582448,0.034948334,0.025078539,0.018358223
"Morgan, IN",2012,0.014664856,0.056617614,0.069153366,0.029044216,0.015830402
"Newton, IN",2012,0.002613472,0.006797413,0.008679508,0.004347894,0.002836718
"Noble, IN",2012,0.018075098,0.03187294,0.044783727,0.029433538,0.01935088
"Ohio, IN",2012,0.000199997,0,0,0,0.000209918
"Orange, IN",2012,0.005434925,0.010133356,0.014970841,0.01105445,0.006714153
"Owen, IN",2012,0.003980645,0.011389919,0.016813272,0.007503669,0.004323984
"Parke, IN",2012,0.001777914,0.00709122,0.011883023,0.004488561,0.001692683
"Perry, IN",2012,0.005973675,0.009133986,0.014524423,0.008869135,0.006444057
"Pike, IN",2012,0.008597465,0.005176643,0.007107766,0.003320598,0.003551146
"Porter, IN",2012,0.072605614,0.170917073,0.174831174,0.10491923,0.080471661
"Posey, IN",2012,0.023053198,0.020361547,0.021312383,0.013660344,0.013441872
"Pulaski, IN",2012,0.004594146,0.00674363,0.007596752,0.006007482,0.004118181
"Putnam, IN",2012,0.009429252,0.022246798,0.034282527,0.021105758,0.012412118
"Randolph, IN",2012,0.007480328,0.015094553,0.021647469,0.011496343,0.006581902
"Ripley, IN",2012,0.011729642,0.019078728,0.024556283,0.020347007,0.015838953
"Rush, IN",2012,0.004308982,0.009875996,0.012069667,0.006823068,0.004063789
"Scott, IN",2012,0.005085965,0.012583514,0.019401188,0.010440629,0.006065048
"Shelby, IN",2012,0.018305998,0.033579625,0.041724288,0.028221527,0.020268249
"Spencer, IN",2012,0.01544217,0.01294916,0.015961911,0.010994773,0.006953742
"St. Joseph, IN",2012,0.139400973,0.24150559,0.284629347,0.21204935,0.162358193
"Starke, IN",2012,0.003392457,0.011547553,0.018734289,0.006287396,0.002941967
"Steuben, IN",2012,0.013052143,0.023825295,0.030580202,0.024807151,0.014410998
"Sullivan, IN",2012,0.011338074,0.010519216,0.016574236,0.008810879,0.006733055
"Switzerland, IN",2012,0.001226156,0.00161842,0.004551502,0.001915347,0.00112658
"Tippecanoe, IN",2012,0.08850407,0.137764287,0.186769863,0.14545979,0.114123822
"Tipton, IN",2012,0.003667857,0.009299388,0.010502292,0.005753145,0.003792278
"Union, IN",2012,0,0.000347255,0.001394921,0.000461786,0
"Vanderburgh, IN",2012,0.119386531,0.177509807,0.190496201,0.179549552,0.144439769
"Vermillion, IN",2012,0.007470588,0.007546186,0.010770797,0.005488861,0.005321463
"Vigo, IN",2012,0.051708523,0.080666435,0.111735563,0.08398682,0.061721313
"Wabash, IN",2012,0.011782789,0.022996219,0.028765058,0.020267438,0.012040149
"Warren, IN",2012,0.001452475,0.002997201,0.002589008,0.001229062,0.000934407
"Warrick, IN",2012,0.023150574,0.061912878,0.059429305,0.029832805,0.019800644
"Washington, IN",2012,0.004905964,0.015851263,0.023853365,0.010218972,0.004916704
"Wayne, IN",2012,0.028542301,0.050852398,0.068053147,0.050057617,0.033417201
